Value,ID,Channel,Folder 1,Filename
0.982213126,39,153Eu_SDHA,C01,153Eu_SDHA
1.880966103,40,153Eu_SDHA,C01,153Eu_SDHA
1.352972463,41,153Eu_SDHA,C01,153Eu_SDHA
1.384603308,42,153Eu_SDHA,C01,153Eu_SDHA
1.073987721,43,153Eu_SDHA,C01,153Eu_SDHA
1.578132174,44,153Eu_SDHA,C01,153Eu_SDHA
1.429454075,45,153Eu_SDHA,C01,153Eu_SDHA
0.980958023,46,153Eu_SDHA,C01,153Eu_SDHA
1.867426832,47,153Eu_SDHA,C01,153Eu_SDHA
1.829381578,48,153Eu_SDHA,C01,153Eu_SDHA
1.040880396,49,153Eu_SDHA,C01,153Eu_SDHA
1.410076763,50,153Eu_SDHA,C01,153Eu_SDHA
1.144602832,51,153Eu_SDHA,C01,153Eu_SDHA
1.067699197,52,153Eu_SDHA,C01,153Eu_SDHA
0.937792499,53,153Eu_SDHA,C01,153Eu_SDHA
1.440280183,54,153Eu_SDHA,C01,153Eu_SDHA
1.01546565,55,153Eu_SDHA,C01,153Eu_SDHA
1.196745678,56,153Eu_SDHA,C01,153Eu_SDHA
1.683518332,57,153Eu_SDHA,C01,153Eu_SDHA
0.818945036,58,153Eu_SDHA,C01,153Eu_SDHA
