value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id	cluster
3.284973762	11	Xe	Control	1	Control	C01R01	C01R01_0011	1
3.269324895	12	Xe	Control	1	Control	C01R01	C01R01_0012	1
3.2771325	13	Xe	Control	1	Control	C01R01	C01R01_0013	1
3.277553308	14	Xe	Control	1	Control	C01R01	C01R01_0014	1
3.27356571	15	Xe	Control	1	Control	C01R01	C01R01_0015	1
3.27690331	16	Xe	Control	1	Control	C01R01	C01R01_0016	1
3.28256893	17	Xe	Control	1	Control	C01R01	C01R01_0017	1
3.286681787	18	Xe	Control	1	Control	C01R01	C01R01_0018	1
3.278424221	19	Xe	Control	1	Control	C01R01	C01R01_0019	1
3.299413472	20	Xe	Control	1	Control	C01R01	C01R01_0020	1
3.303222195	21	Xe	Control	1	Control	C01R01	C01R01_0021	1
3.289106441	22	Xe	Control	1	Control	C01R01	C01R01_0022	1
3.28551203	23	Xe	Control	1	Control	C01R01	C01R01_0023	1
3.297892769	24	Xe	Control	1	Control	C01R01	C01R01_0024	1
3.29072251	25	Xe	Control	1	Control	C01R01	C01R01_0025	1
3.286530423	26	Xe	Control	1	Control	C01R01	C01R01_0026	1
3.293385707	27	Xe	Control	1	Control	C01R01	C01R01_0027	1
3.294963118	28	Xe	Control	1	Control	C01R01	C01R01_0028	1
3.280172317	29	Xe	Control	1	Control	C01R01	C01R01_0029	1
3.286883181	30	Xe	Control	1	Control	C01R01	C01R01_0030	1
3.28746478	31	Xe	Control	1	Control	C01R01	C01R01_0031	1
3.288796788	32	Xe	Control	1	Control	C01R01	C01R01_0032	1
3.285760131	33	Xe	Control	1	Control	C01R01	C01R01_0033	1
3.288239478	34	Xe	Control	1	Control	C01R01	C01R01_0034	1
3.280947763	35	Xe	Control	1	Control	C01R01	C01R01_0035	1
3.282037662	36	Xe	Control	1	Control	C01R01	C01R01_0036	1
3.288634986	37	Xe	Control	1	Control	C01R01	C01R01_0037	1
3.287826149	38	Xe	Control	1	Control	C01R01	C01R01_0038	1
3.298996734	39	Xe	Control	1	Control	C01R01	C01R01_0039	1
3.292802891	40	Xe	Control	1	Control	C01R01	C01R01_0040	1
3.288037777	41	Xe	Control	1	Control	C01R01	C01R01_0041	1
3.29404867	42	Xe	Control	1	Control	C01R01	C01R01_0042	1
3.298303762	43	Xe	Control	1	Control	C01R01	C01R01_0043	1
3.293753827	44	Xe	Control	1	Control	C01R01	C01R01_0044	1
3.294381077	45	Xe	Control	1	Control	C01R01	C01R01_0045	1
3.295511999	46	Xe	Control	1	Control	C01R01	C01R01_0046	1
3.293259963	47	Xe	Control	1	Control	C01R01	C01R01_0047	1
3.295635337	48	Xe	Control	1	Control	C01R01	C01R01_0048	1
3.295062128	49	Xe	Control	1	Control	C01R01	C01R01_0049	1
3.289306276	50	Xe	Control	1	Control	C01R01	C01R01_0050	1
3.292870108	51	Xe	Control	1	Control	C01R01	C01R01_0051	1
3.297998728	52	Xe	Control	1	Control	C01R01	C01R01_0052	1
3.292250577	53	Xe	Control	1	Control	C01R01	C01R01_0053	1
3.298649768	54	Xe	Control	1	Control	C01R01	C01R01_0054	1
3.296500189	55	Xe	Control	1	Control	C01R01	C01R01_0055	1
3.300487377	56	Xe	Control	1	Control	C01R01	C01R01_0056	1
3.295519379	57	Xe	Control	1	Control	C01R01	C01R01_0057	1
3.294722134	58	Xe	Control	1	Control	C01R01	C01R01_0058	1
3.296114008	59	Xe	Control	1	Control	C01R01	C01R01_0059	1
3.291624383	60	Xe	Control	1	Control	C01R01	C01R01_0060	1
3.299581176	61	Xe	Control	1	Control	C01R01	C01R01_0061	1
3.302501021	62	Xe	Control	1	Control	C01R01	C01R01_0062	1
3.303431749	63	Xe	Control	1	Control	C01R01	C01R01_0063	1
3.299299006	64	Xe	Control	1	Control	C01R01	C01R01_0064	1
3.290779745	65	Xe	Control	1	Control	C01R01	C01R01_0065	1
3.300367276	66	Xe	Control	1	Control	C01R01	C01R01_0066	1
3.297508886	67	Xe	Control	1	Control	C01R01	C01R01_0067	1
3.290328435	68	Xe	Control	1	Control	C01R01	C01R01_0068	1
3.294390559	69	Xe	Control	1	Control	C01R01	C01R01_0069	1
3.293757663	70	Xe	Control	1	Control	C01R01	C01R01_0070	1
3.297254042	71	Xe	Control	1	Control	C01R01	C01R01_0071	1
3.289261917	72	Xe	Control	1	Control	C01R01	C01R01_0072	1
3.292552354	73	Xe	Control	1	Control	C01R01	C01R01_0073	1
3.298559884	74	Xe	Control	1	Control	C01R01	C01R01_0074	1
3.29351348	75	Xe	Control	1	Control	C01R01	C01R01_0075	1
3.304756039	76	Xe	Control	1	Control	C01R01	C01R01_0076	1
3.29284799	77	Xe	Control	1	Control	C01R01	C01R01_0077	1
3.305524596	78	Xe	Control	1	Control	C01R01	C01R01_0078	1
3.301036602	79	Xe	Control	1	Control	C01R01	C01R01_0079	1
3.300155872	80	Xe	Control	1	Control	C01R01	C01R01_0080	1
3.307366787	81	Xe	Control	1	Control	C01R01	C01R01_0081	1
